art,name,strasse,plz,ort,telefon,email,traeger,bezirk
krabbelstube,Pfarrcaritas Krabbelstube,Höhenstr.  15,4223,Katsdorf,0699/11422344,KS411105@pfarrcaritas-kita.at,Pfarrcaritas,Perg
kindergarten,Pfarrcaritas Kindergarten,Schulstraße 11,4222,Langenstein,07237/5052,KG411222@pfarrcaritas-kita.at,Pfarrcaritas,Perg
krabbelstube,Pfarrcaritas Krabbelstube,Schulstraße  11,4222,Langenstein,07237/5052,KS411114@pfarrcaritas-kita.at,Pfarrcaritas,Perg
kindergarten,Pfarrcaritas Kindergarten,Lindenweg  9,4310,Mauthausen,07238/2608,KG411223@pfarrcaritas-kita.at,Pfarrcaritas,Perg
kindergarten,Pfarrcaritas Kindergarten,Nr. 61,4343,Mitterkirchen,07269/8197,KG411224@pfarrcaritas-kita.at,Pfarrcaritas,Perg
krabbelstube,Pfarrcaritas Krabbelstube,Nr.  61,4343,Mitterkirchen,07269/8197,KS411118@pfarrcaritas-kita.at,Pfarrcaritas,Perg
kindergarten,Pfarrcaritas Kindergarten,Severinweg 2,4331,Naarn,07262/58791,KG411225@pfarrcaritas-kita.at,Pfarrcaritas,Perg
krabbelstube,Pfarrcaritas Krabbelstube,Severinweg  2,4331,Naarn,0680/2327477,KS411108@pfarrcaritas-kita.at,Pfarrcaritas,Perg
kindergarten,Pfarrcaritas Kindergarten,Sonnleitn 1,4363,Pabneukirchen,07265/5256,KG411226@pfarrcaritas-kita.at,Pfarrcaritas,Perg
krabbelstube,Pfarrcaritas Krabbelstube,Markt 77a,4363,Pabneukirchen,07265/5265,KS411126@pfarrcaritas-kita.at,Pfarrcaritas,Perg
kindergarten,Pfarrcaritas Kindergarten,Nr. 1,4324,Rechberg,07264/4855,KG411227@pfarrcaritas-kita.at,Pfarrcaritas,Perg
krabbelstube,Pfarrcaritas Krabbelstube,Parkring  16,4312,Ried i. d. Riedmark,07238/29999,KS411110@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Bahnhofstraße 15,4311,Schwertberg,0676/4558901,KG411229@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Friedhofstr. 16,4311,Schwertberg,0680/1552753,KS411102@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Hopfau 2,4222,St. Georgen/Gusen,07237/2609,KG411230@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Marktplatz 16,4971,Aurolzmünster,07752/82169,KG412239@pfarrcaritas-kita.at,Pfarrcaritas,Ried i. Innkreis
krabbelstube,Pfarrcaritas Krabbelstube,Marktplatz 16,4971,Aurolzmünster,07752/82169,KS412107@pfarrcaritas-kita.at,Pfarrcaritas,Ried i. Innkreis
kindergarten,Pfarrcaritas Kindergarten,Maierhof 33,4906,Eberschwang,0680/2412715,KG412240@pfarrcaritas-kita.at,Pfarrcaritas,Ried i. Innkreis
krabbelstube,Pfarrcaritas Krabbelstube,Maierhof 33,4906,Eberschwang,0677-61603870,KS412118@pfarrcaritas-kita.at,Pfarrcaritas,Ried i. Innkreis
kindergarten,Pfarrcaritas Kindergarten,Nr. 53,4925,Pramet,07754/8588,KG412241@pfarrcaritas-kita.at,Pfarrcaritas,Ried i. Innkreis
hort,Hort Vereins f. Franziskanische Bildung,Kapuzinerberg 19,4910,Ried im Innkreis,0676/883481515,office@vffb.or.at,VFFB,Ried i. Innkreis
kindergarten,Pfarrcaritas Kindergarten,Schulstraße  6,4121,Altenfelden,07282/6550,KG413222@pfarrcaritas-kita.at,Pfarrcaritas,Rohrbach
kindergarten,Pfarrcaritas Kindergarten,Hermann-Mathie-Weg 1,4170,Haslach,07289/71501,KG413224@pfarrcaritas-kita.at,Pfarrcaritas,Rohrbach
kindergarten,Pfarrcaritas Kindergarten,Nr. 20a,4115,Kleinzell,0664/8341496,KG413225@pfarrcaritas-kita.at,Pfarrcaritas,Rohrbach
krabbelstube,Pfarrcaritas Krabbelstube,Nr. 20a,4115,Kleinzell,0664/8341496,KS413109@pfarrcaritas-kita.at,Pfarrcaritas,Rohrbach
krabbelstube,Pfarrcaritas Krabbelstube,Schulstr. 12a,4132,Lembach,07286/20350,KS413107@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Färberweg 1,4153,Peilstein,0676/8244-4490,KG413227@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Färberweg 1,4153,Peilstein,07287/7252,KS413112@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Markt  35,4134,Putzleinsdorf,07286/7055,KG413228@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Harrauerstraße 5,4150,Rohrbach,07289/4360,KG413229@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Harrauerstraße 5,4150,Rohrbach,07289/4360,KS413104@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Bahnhofstr. 29,4150,Rohrbach-Berg,07289/6295,KG413223@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Bahnhofstr. 29,4150,Rohrbach-Berg,07289/6295,KS413110@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,"Hanriederstraße 4, 32",4152,Sarleinsbach,07283/8553,KG413230@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Hanriederstraße 4,4152,Sarleinsbach,07283/8553,KS413106@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Markt 18,4113,St. Martin/Mkr.,07232/3522,KG413232@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Markt 18,4113,St. Martin/Mkr.,0676/8776-6616,KS413105@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Schulgasse 5,4161,Ulrichsberg,07288/23515,KG413233@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Hauptstraße  1,4770,Andorf,07766/305216,KG414222@pfarrcaritas-kita.at,Pfarrcaritas,Schärding
krabbelstube,Pfarrcaritas Krabbelstube,Schulgasse 2,4770,Andorf,0776/6305216,KS414102@pfarrcaritas-kita.at,Pfarrcaritas,Schärding
kindergarten,Pfarrcaritas Kindergarten,Nr. 72,4773,Eggerding,07767/595,KG414223@pfarrcaritas-kita.at,Pfarrcaritas,Schärding
kindergarten,Pfarrcaritas Kindergarten,Schulplatz 125,4090,Engelhartszell,0676/8776-6668,KG414224@pfarrcaritas-kita.at,Pfarrcaritas,
hort,Pfarrcaritas Hort,Pfarrer-Hufnagl-Straße 1,4794,Kopfing im Innkreis,07763/2894,HO414603@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Pfarrer-Hufnagl-Straße 1,4794,Kopfing im Innkreis,07763/2894-40,KG414225@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Pfarrer-Hufnagl-Straße 1,4794,Kopfing im Innkreis,07763-2894,KS414110@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Schulstraße  23,4760,Raab,07762/2327,KG414221@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Schulstraße 23,4760,Raab,07762/2327,KS414114@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Marktplatz 95/96,4752,Riedau,07764/8576,KG414226@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Marktplatz 95-96,4752,Riedau,0776/48576,KS414118@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Peter-Rosegger-Weg 3,4784,Schardenberg,07713/6585,KG414227@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Caritas Kindergarten,DI Erich Thallner Straße 1,4782,St. Florian/Inn EVG-Minis,07712/5311-1230,kindergarten.evg.stflorian@caritas-ooe.at,Caritas,
krabbelstube,Caritas Krabbelstube,DI Erich Thallnerstraße  1,4782,St. Florian/Inn EVG,07712/5311-1232,krabbelstube.evg.stflorian@caritas-ooe.at,Caritas,
kindergarten,Pfarrcaritas Kindergarten,St. Florian 9,4782,St. Florian am Inn,07712/4040,KG414228@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,St. Florian 57,4782,St. Florian am Inn,07712/60528,KS414104@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Nr. 22,4085,Waldkirchen/Wesen,07718/7266-12,KG414229@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Waldstraße 1,4421,Aschach a. d. Steyr,07259/3505,KG415215@pfarrcaritas-kita.at,Pfarrcaritas,Steyr Land
krabbelstube,Pfarrcaritas Krabbelstube,Waldstraße 1,4421,Aschach a. d. Steyr,07259/3505,KS415113@pfarrcaritas-kita.at,Pfarrcaritas,Steyr Land
krabbelstube,Pfarrcaritas Krabbelstube,Theaterstrasse 8,4540,Bad Hall,0676-6603839,KS415104@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Möderndorferstraße 4,4540,Bad Hall/Pfarrkirchen,07258/2845,KG415222@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Pfarrberg 1,4407,Dietach,07252/38888,KG415218@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Anselm Angererstraße 11,4451,Garsten,07252/45129,KG415219@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Anselm Angererstr. 11,4451,Garsten,07252/45129,KS415106@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Marktstraße 1,4201,Gramastetten,0676/8776-6764,KG416229@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Pfarrsiedlung  7,4463,Großraming,07254/8447,KG415220@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Pfarrsiedlung 7,4463,Großraming,07254/8447,KS415115@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Pfarrheimgasse 6,4522,Sierning,07259/2378,KG415223@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Pfarrheimgasse 6,4522,Sierning,07259/2378,KS415112@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Steyrtalstr.  22,4523,Sierninghofen/Neuzeug,07259/3179,KG415221@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Josef Teufel Platz 2,4523,Sierninghofen/Neuzeug,07259/3179,KS415120@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Familiengasse 4,4452,Ternberg,07256/8794,KG415224@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Pfarrhofstr. 12,4452,Ternberg,07256/8794,KS415110@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Bad Haller Straße 8,4595,Waldneukirchen,0677/61056582,KG415225@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Bad Haller Straße 8,4595,Waldneukirchen,0677/61056582,KS415108@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Kindergarten Schulverein der Kreuzschwestern,Hochhauserstraße 1,4400,Steyr,07252/53140-18,kigasteyr.rudigier@gmx.at,Kreuzschwestern,
kindergarten,Pfarrcaritas Kindergarten,Saaß-Straße 5,4400,Steyr - Christkindl,07252/47985,KG415217@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Saaßstraße 5,4400,Steyr - Christkindl,0676/87765932,KS415107@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Punzerstraße 45a,4400,Steyr - Münichholz,07252/84515,KG402220@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Wieserfeldplatz 18a,4400,Steyr St. Michael,07252/72252,KG402221@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Raiffeisenweg 8,4203,Altenberg,0664/8892 9693,KG416219@pfarrcaritas-kita.at,Pfarrcaritas,Urfahr Umgebung
krabbelstube,Pfarrcaritas Krabbelstube,Raiffeisenweg  8,4203,Altenberg,0664/8892 9692,KS416107@pfarrcaritas-kita.at,Pfarrcaritas,Urfahr Umgebung
kindergarten,Pfarrcaritas Kindergarten,Pfarrerleite 3,4190,Bad Leonfelden,0676/8776-5944,KG416220@pfarrcaritas-kita.at,Pfarrcaritas,Urfahr Umgebung
krabbelstube,Pfarrcaritas Krabbelstube,Pfarrerleite 3,4190,Bad Leonfelden,0676/8776 5944,KS416117@pfarrcaritas-kita.at,Pfarrcaritas,Urfahr Umgebung
kindergarten,Pfarrcaritas Kindergarten,Bürgerstraße 2,4209,Engerwitzdorf/St. Ägidius,0676/8244-4448,KG416221@pfarrcaritas-kita.at,Pfarrcaritas,Urfahr Umgebung
kindergarten,Pfarrcaritas Kindergarten,Leitnerstraße 10,4209,"Treffling, St. Elisabeth",0676-82444460,KG416222@pfarrcaritas-kita.at,Pfarrcaritas,Urfahr Umgebung
kindergarten,Pfarrcaritas Kindergarten,Bürgerstraße 4,4209,Engerwitzdorf St. Florian,07235/20909,KG416214@pfarrcaritas-kita.at,Pfarrcaritas,Urfahr Umgebung
krabbelstube,Pfarrcaritas Krabbelstube,Bürgerstraße 4,4209,Engerwitzdorf St. Florian,07235/20909,KS416122@pfarrcaritas-kita.at,Pfarrcaritas,Urfahr Umgebung
krabbelstube,Pfarrcaritas Krabbelstube,Steiningerweg 12,4209,Treffling,07235/50459 872,KS416115@pfarrcaritas-kita.at,Pfarrcaritas,Urfahr Umgebung
kindergarten,Pfarrcaritas Kindergarten,Marktplatz 1,4101,Feldkirchen I,07233/7582,KG416224@pfarrcaritas-kita.at,Pfarrcaritas,Urfahr Umgebung
kindergarten,Pfarrcaritas Kindergarten,Hauptstraße  16,4101,Feldkirchen II,07233/6455,KG416223@pfarrcaritas-kita.at,Pfarrcaritas,Urfahr Umgebung
kindergarten,Pfarrcaritas Kindergarten,Ludwig-Schwarz-Weg  5,4210,Gallneukirchen St. Josef,0676/82444444,KG416227@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Feldweg 22 - 24,4210,Gallneukirchen St. Martin,0676- 8244 4442,KG416226@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Caritas Kindergarten,Schulstraße 7,4202,Hellmonsödt,07215/2584,kindergarten.hellmonsoedt@caritas-ooe.at,Caritas,
krabbelstube,Caritas Krabbelstube,Schulstraße 7,4202,Hellmonsödt,0676/8776-5931,krabbelstube.hellmonsoedt@caritas-ooe.at,Caritas,
kindergarten,Pfarrcaritas Kindergarten,Ledererstraße 2,4181,Oberneukirchen,07212/7384,KG416231@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Gartenstadtstraße 2,4048,Puchenau,0732/221091,KG416232@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Marktplatz 5,4193,Reichenthal,07214/4488,KG416233@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Marktplatz 5,4193,Reichenthal,07214-4488,KS416123@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Markt 17,4192,Schenkenfelden,07214/4315,KG416235@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Fischergasse 6,4221,Steyregg,0676/8244-4641,KG416236@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Fischergasse 6,4221,Steyregg,0676/82444650,KS416105@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Obere Dorfstraße 18,4213,Unterweitersdorf,0676/82444610,KS406120@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Nr. 60,4182,Waxenberg - Traberg,07217/6356,KG416239@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Nr. 60,4182,Waxenberg - Traberg,07217/6356,KS416118@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Grießmühlweg 13,4180,Zwettl/Rodl,07212/6844,KG416240@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Grießmühlweg 13,4180,Zwettl/Rodl,07212/203017,KS416125@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Kindergarten Vereins f. Franziskanische Bildung,Maria-Theresien-Straße 5,4800,Attnang Puchheim,0676/883481407,office@vffb.or.at,VFFB,
krabbelstube,Krabbelstube Vereins f. Franziskanische Bildung,Maria-Theresien-Straße 5,4800,Attnang Puchheim,07674/62353-8,office@vffb.or.at,VFFB,
kindergarten,Pfarrcaritas Kindergarten,Hippelsberger Straße 5,4904,Atzbach,07676/20878,KG417269@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Caritas Kindergarten,Nr. 71,4861,Aurach/Hongar,07662/2064,kindergarten.aurach@caritas-ooe.at,Caritas,
krabbelstube,Caritas Krabbelstube,Nr. 71,4861,Aurach/Hongar,07662/2064,kindergarten.aurach@caritas-ooe.at,Caritas,
kindergarten,Pfarrcaritas Kindergarten,Nr. 57,4693,Desselbrunn,07673/370520,KG417227@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Fornach 40,4892,Fornach,07682/5200,KG417228@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Kindergarten Vereins f. Franziskanische Bildung,Hauptstraße 32,4873,Frankenburg,0676/8834 811 01,office@vffb.or.at,VFFB,
krabbelstube,Krabbelstube Vereins f. Franziskanische Bildung,Hauptstraße 32,4873,Frankenburg,0676/88348-1104,office@vffb.or.at,VFFB,
kindergarten,Pfarrcaritas Kindergarten,Fornacherstr. 26,4890,Frankenmarkt,0681/20756750,KG417230@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Fornacherstraße  12,4890,Frankenmarkt,0681/20756750,KS417135@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Kindergarten Vereins f. Franziskanische Bildung,Rainerstraße 28,5310,Mondsee,06232/2389,office@vffb.or.at,VFFB,
krabbelstube,Krabbelstube Vereins f. Franziskanische Bildung,Rainerstraße 28,5310,Mondsee,0676 88 348 13 10,office@vffb.or.at,VFFB,
kindergarten,Pfarrcaritas Kindergarten,Kirchenstraße 3,4692,Niederthalheim,07673/7206,KG417233@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Dorfstraße 48,4865,Nußdorf/Attersee,07666/8003,KG417234@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Nr. 23,4894,Oberhofen/Irrsee,06213/82033,KG417235@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Kirchham 16,4891,Pöndorf,07684/7110,KG417236@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Redlham 15,4846,Schwanenstadt - Redlham,0676/8244-4639,KG417242@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Marktstraße 1,4844,Regau,07672/26984,KG417237@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Feldweg 7,4844,Regau - Schalchham,07672/24439,KG417238@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Rüstorf 24,4690,Rüstorf,0699/16107773,KG417246@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Rüstorf  68,4690,Rüstorf,0699/16107773,KS417121@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Breitenschützing 61,4691,Schwanenstadt - Schlatt,0676/8244-4623,KG417239@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Kirchengasse 4,4861,Schörfling,07662/8311,KG417240@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Bach 10,4690,Schwanenstadt - Bach-Rutzenham,0676/8244-4620,KG417247@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Linzerstraße 18,4690,Schwanenstadt -,0676 82444625,KG417245@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Atzbacherstraße 16,4690,Schwanenstadt - Oberndorf,0676/82444638,KG417243@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Süßmayrstraße 13,4690,Schwanenstadt - St. Michael,0676/8244-3163,KG417244@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Schulweg 18,4863,Seewalchen,07662/5400,KG417248@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Attergaustraße 25,4880,St. Georgen/Attergau,07667/6377,KG417249@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Attergaustraße 25,4880,St. Georgen/Attergau,07667/6377,KS417133@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Nr. 15,4841,Ungenach,0676/8244470-0,KG417250@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Nr. 15,4841,Ungenach,0676/8244470-0,KS417111@pfarrcaritas-kita.at,Pfarrcaritas,
hort,Hort Vereins f. Franziskanische Bildung,Dr. Alois Scherer-Str. 2,4840,Vöcklabruck,07672/72680-70,office@vffb.or.at,VFFB,
kindergarten,Praxiskindergarten der BAFEP,Linzerstraße 98,4840,Vöcklabruck,07672/24815-39,kindergarten@donboscoschulen.at,Kirchlich (sonst.),
kindergarten,Kindergarten Vereins f. Franziskanische Bildung,Graben 10,4840,Vöcklabruck,07672/72680-60,office@vffb.or.at,VFFB,
kindergarten,Pfarrcaritas Kindergarten,Pfarrhofgries 1,4840,Vöcklabruck,07672/25747,KG417251@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Dr. Scheiberstraße  8a,4870,Vöcklamarkt 1,07682/6787,KG417253@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Dr. Scheiberstraße 8a,4870,Vöcklamarkt 1,07682/6787,KS417142@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Dr. Scheiberstraße 2,4870,Vöcklamarkt 2,0677/63815886,KG417281@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Dr. Scheiberstraße 2,4870,Vöcklamarkt 2,0677/63815886,KS417136@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Römergasse 11,4852,Weyregg,07664/2357,KG417254@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Römergasse 11,4852,Weyregg,0676/87766732,KS417116@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Roßmarkt 12,4902,Wolfsegg,07676/7501,KG417255@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Marktplatz 4,4902,Wolfsegg,0676/8776-6672,KS417125@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Museumsweg 1,4893,Zell am Moos,06234/7024,KG417256@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Museumsweg 1,4893,Zell am Moos,06234/7024,KG417256@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Langwies 48,4871,Zipf,07682/6730,KG417257@pfarrcaritas-kita.at,Pfarrcaritas,
hort,Hort Schulverein der Kreuzschwestern,Fadingerstraße 10,4600,Wels,07242/354272,kigahort@wels.kreuzschwestern.at,Kreuzschwestern,Wels
hort,Hort Vereins f. Franziskanische Bildung,Schubertstraße 51,4600,Wels,0676/ 883481826,office@vffb.or.at,VFFB,Wels
kindergarten,Kindergarten Schulverein der Kreuzschwestern,Fadingerstraße 10,4600,Wels,07242/354272,kigahort@wels.kreuzschwestern.at,Kreuzschwestern,Wels
kindergarten,Betriebskindergarten Klinikum Kreuzschwestern,Römerstraße 82,4600,Wels,07242/68180,kiga.klinikum@aon.at,Kreuzschwestern,Wels
krabbelstube,Krabbelstube Vereins f. Franziskanische Bildung,Schubertstraße 49,4600,Wels,0676-883481833,office@vffb.or.at,VFFB,
kindergarten,Pfarrcaritas Kindergarten,Fabrikstraße 6-8,4600,"Wels, Stadtpfarre",07242/44154,KG403213@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Macsadyweg 1,4600,Wels Lichtenegg St. Stephan,07242/46838,KG403214@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Fabrikstraße 6-8,4600,"Wels, Stadtpfarre",07242/44154,KS403105@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Caritas Kindergarten,Schulstraße  13a,4672,Bachmanning,07735/20043,kindergarten.bachmanning@caritas-ooe.at,Caritas,Wels Land
kindergarten,Pfarrcaritas Kindergarten,Pfarrhofgasse 1,4611,Buchkirchen,07242/28180,KG418220@pfarrcaritas-kita.at,Pfarrcaritas,Wels Land
kindergarten,Pfarrcaritas Kindergarten,Welserstraße  7,4623,Gunskirchen,0676/8244-4470,KG418221@pfarrcaritas-kita.at,Pfarrcaritas,Wels Land
kindergarten,Vereinskindergarten,Gartenstraße 2,4625,Offenhausen,07247/6250,leitung@kindergarten.offenhausen.at,Kirchlich (sonst.),Wels Land
krabbelstube,Vereinskrabbelstube,Gartenstraße 2,4625,Offenhausen,07247/6250,leitung@kindergarten.offenhausen.at,Kirchlich (sonst.),Wels Land
kindergarten,Pfarrcaritas Kindergarten,Nr. 12,4624,Pennewang,07245/26351,KG418222@pfarrcaritas-kita.at,Pfarrcaritas,Wels Land
krabbelstube,Pfarrcaritas Krabbelstube,Nr. 12,4624,Pennewang,07245/26351,KS418127@pfarrcaritas-kita.at,Pfarrcaritas,Wels Land
hort,Pfarrcaritas Hort,Mitterweg 1,4632,Pichl bei Wels,07247/8009,HO418611@pfarrcaritas-kita.at,Pfarrcaritas,Wels Land
