art,name,weburl,contact_name,strasse,plz,ort,telefon,email,oeffnungszeiten,angebot_art_label,kosten,schliesstage,beschreibung,traeger
krabbelstube,Krabbelstube Mattighofen,https://kinderfreunde.at/angebote/detail/krabbelstube-mattighofen,,,,,Nicole Nöbauer Tel: 0699 / 16 88 61 83 E-Mail: krabbelstube.mattighofen@kinderfreunde-ooe.at,krabbelstube.mattighofen@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,Nicole Nöbauer Tel: 0699 / 16 88 61 83 E-Mail: krabbelstube.mattighofen@kinderfreunde-ooe.at,Kinderfreunde
krabbelstube,Krabbelstube Mattighofen KTM,https://kinderfreunde.at/angebote/detail/krabbelstube-mattighofen-ktm,,,,,Nicole Nöbauer Tel: 0699 / 16 88 61 83 E-Mail: krabbelstube.mattighofen-ktm@kinderfreunde-ooe.at,krabbelstube.mattighofen-ktm@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,Nicole Nöbauer Tel: 0699 / 16 88 61 83 E-Mail: krabbelstube.mattighofen-ktm@kinderfreunde-ooe.at,Kinderfreunde
krabbelstube,Krabbelstube Mauthausen,https://kinderfreunde.at/angebote/detail/krabbelstube-mauthausen,,,,,Sandra Wögerbauer Tel: 0699 / 16 88 62 14 E-Mail: krabbelstube.mauthausen@kinderfreunde-ooe.at,krabbelstube.mauthausen@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,Sandra Wögerbauer Tel: 0699 / 16 88 62 14 E-Mail: krabbelstube.mauthausen@kinderfreunde-ooe.at,Kinderfreunde
krabbelstube,Krabbelstube Neuhofen,https://kinderfreunde.at/angebote/detail/krabbelstube-neuhofen,,,,,Tanja Zeller Tel: 0699 / 16 886 176 E-Mail: krabbelstube.neuhofen-krems@kinderfreunde-ooe.at,krabbelstube.neuhofen-krems@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,Tanja Zeller Tel: 0699 / 16 886 176 E-Mail: krabbelstube.neuhofen-krems@kinderfreunde-ooe.at,Kinderfreunde
krabbelstube,Krabbelstube Neumarkt,https://kinderfreunde.at/angebote/detail/krabbelstube-neumarkt,,,,,Belinda Ertl Tel: 0699 / 16 88 61 87 E-Mail: krabbelstube.neumarkt@kinderfreunde-ooe.at,krabbelstube.neumarkt@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,Belinda Ertl Tel: 0699 / 16 88 61 87 E-Mail: krabbelstube.neumarkt@kinderfreunde-ooe.at,Kinderfreunde
krabbelstube,Krabbelstube Pasching,https://kinderfreunde.at/angebote/detail/krabbelstube-pasching,,,,,Magdalena Hofstätter Tel: 0699 / 16 88 61 72 E-Mail: krabbelstube.pasching@kinderfreunde-ooe.at,krabbelstube.pasching@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,Magdalena Hofstätter Tel: 0699 / 16 88 61 72 E-Mail: krabbelstube.pasching@kinderfreunde-ooe.at,Kinderfreunde
krabbelstube,Krabbelstube Plus City,https://kinderfreunde.at/angebote/detail/krabbelstube-plus-city,,,,,Sabine Bruckmüller Tel: 0699 / 16 88 61 78 E-Mail: kindergarten.pluscity@kinderfreunde-ooe.at,kindergarten.pluscity@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,Sabine Bruckmüller Tel: 0699 / 16 88 61 78 E-Mail: kindergarten.pluscity@kinderfreunde-ooe.at,Kinderfreunde
krabbelstube,Krabbelstube Schörfling,https://kinderfreunde.at/angebote/detail/krabbelstube-schorfling,,,,,Christine Steffek Tel: 0699 / 16 88 61 98 E-Mail: krabbelstube.schoerfling@kinderfreunde-ooe.at,krabbelstube.schoerfling@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,Christine Steffek Tel: 0699 / 16 88 61 98 E-Mail: krabbelstube.schoerfling@kinderfreunde-ooe.at,Kinderfreunde
krabbelstube,Krabbelstube Seewalchen,https://kinderfreunde.at/angebote/detail/krabbelstube-seewalchen-1,,,,,Jacqueline Kohlbauer Tel: 0699 / 16 88 61 86 E-Mail: krabbelstube.seewalchen@kinderfreunde-ooe.at,krabbelstube.seewalchen@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,Jacqueline Kohlbauer Tel: 0699 / 16 88 61 86 E-Mail: krabbelstube.seewalchen@kinderfreunde-ooe.at,Kinderfreunde
krabbelstube,Krabbelstube St. Georgen / Gusen,https://kinderfreunde.at/angebote/detail/krabbelstube-st-georgen-1,,,,,Caroline Böhm Tel: 0699 / 16 88 62 12 E-Mail: krabbelstube.st.georgen@kinderfreunde-ooe.at,krabbelstube.st.georgen@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,Caroline Böhm Tel: 0699 / 16 88 62 12 E-Mail: krabbelstube.st.georgen@kinderfreunde-ooe.at,Kinderfreunde
krabbelstube,Krabbelstube und Kindergarten Langholzfeld,https://kinderfreunde.at/angebote/detail/krabbelstube-und-kindergarten-langholzfeld,,,,,Bettina Kral Tel: 07 229 / 669 58 E-Mail: kindergarten.langholzfeld@kinderfreunde.cc,kindergarten.langholzfeld@kinderfreunde.cc,,,Kosten: auf Anfrage,,Bettina Kral Tel: 07 229 / 669 58 E-Mail: kindergarten.langholzfeld@kinderfreunde.cc,Kinderfreunde
krabbelstube,Krabbelstube und Kindergarten Plus City,https://kinderfreunde.at/angebote/detail/krabbelstube-und-kindergarten-plus-city,,,,,Sabine Bruckmüller Tel: 0699 / 168 86 178 E-Mail: kindergarten.pluscity@kinderfreunde-ooe.at,kindergarten.pluscity@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,Sabine Bruckmüller Tel: 0699 / 168 86 178 E-Mail: kindergarten.pluscity@kinderfreunde-ooe.at,Kinderfreunde
krabbelstube,Krabbelstube Wilhering,https://kinderfreunde.at/angebote/detail/krabbelstube-wilhering-1,,,,,Karin Ruschak Tel: 0699 / 16 88 61 55 E-Mail: krabbelstube.wilhering@kinderfreunde-ooe.at,krabbelstube.wilhering@kinderfreunde-ooe.at,,,,,Karin Ruschak Tel: 0699 / 16 88 61 55 E-Mail: krabbelstube.wilhering@kinderfreunde-ooe.at,Kinderfreunde
krabbelstube,Naturkindergarten St.Georgen/Gusen,https://kinderfreunde.at/angebote/detail/naturkindergarten-st-georgen-gusen,,,,,Heidi Leimer Tel: 07237 / 2465 - 40 E-Mail: info@naturkindergarten.at,info@naturkindergarten.at,,,Kosten: auf Anfrage,,"Der junge Mensch braucht seinesgleichen - nämlich Wasser, Dreck, Gebüsch und Spielraum.",Kinderfreunde
krabbelstube,Steyr - Krabbelstube Kuschelbär,https://kinderfreunde.at/angebote/detail/steyr-krabbelstube-kuschelbar,,,,,Christina Baumann Tel: 0699 / 16 88 65 80 E-Mail: krabbelstube.kuschelbaer@kinderfreunde.at,krabbelstube.kuschelbaer@kinderfreunde.at,,,,,Christina Baumann Tel: 0699 / 16 88 65 80 E-Mail: krabbelstube.kuschelbaer@kinderfreunde.at,Kinderfreunde
krabbelstube,Wels - Krabbelstube Purzelbaum,https://kinderfreunde.at/angebote/detail/wels-krabbelstube-purzelbaum,,,,,Andrea Diesenberger Tel: 0699 / 168 86 460 E-Mail: krabbelstube.purzelbaum@kinderfreunde-ooe.at,krabbelstube.purzelbaum@kinderfreunde-ooe.at,,,,,Andrea Diesenberger Tel: 0699 / 168 86 460 E-Mail: krabbelstube.purzelbaum@kinderfreunde-ooe.at,Kinderfreunde
krabbelstube,Wels - Krabbelstube Regenbogen,https://kinderfreunde.at/angebote/detail/wels-krabbelstube-regenbogen,,,,,Anna Ivic Tel: 0699 / 168 86 465 E-Mail: krabbelstube.regenbogen@kinderfreunde-ooe.at,krabbelstube.regenbogen@kinderfreunde-ooe.at,,,,,Anna Ivic Tel: 0699 / 168 86 465 E-Mail: krabbelstube.regenbogen@kinderfreunde-ooe.at,Kinderfreunde
krabbelstube,Wels - Krabbelstube Sonnenschein,https://kinderfreunde.at/angebote/detail/wels-krabbelstube-sonnenschein,,,,,Theresa Schedlberger Tel: 0699 / 168 86 462 E-Mail: krabbelstube.sonnenschein@kinderfreunde-ooe.at,krabbelstube.sonnenschein@kinderfreunde-ooe.at,,,,,Theresa Schedlberger Tel: 0699 / 168 86 462 E-Mail: krabbelstube.sonnenschein@kinderfreunde-ooe.at,Kinderfreunde
krabbelstube,Wels - Krabbelstube Spatzennest,https://kinderfreunde.at/angebote/detail/wels-krabbelstube-spatzennest,,,,,Christina Helperstorfer Tel: 0699 / 168 86 463 E-Mail: krabbelstube.spatzennest@kinderfreunde-ooe.at,krabbelstube.spatzennest@kinderfreunde-ooe.at,,,,,Christina Helperstorfer Tel: 0699 / 168 86 463 E-Mail: krabbelstube.spatzennest@kinderfreunde-ooe.at,Kinderfreunde
krabbelstube,Wels - Krabbelstube Wirbelwind,https://kinderfreunde.at/angebote/detail/wels-krabbelstube-wirbelwind,,,,,Theresa Schedlberger Tel: 0699 / 16 88 64 64 E-Mail: krabbelstube.wirbelwind@kinderfreunde-ooe.at,krabbelstube.wirbelwind@kinderfreunde-ooe.at,,,,,Theresa Schedlberger Tel: 0699 / 16 88 64 64 E-Mail: krabbelstube.wirbelwind@kinderfreunde-ooe.at,Kinderfreunde
